epoch,total_loss,dist_loss,fredf_loss,anchor_loss,nomoto_loss,div_loss,pw_fde_nm,val_ade,val_fde,val_ccr,val_dcpa_mae,val_anchor_ade,val_anchor_fde,lr,eff_div_weight,sda_gates,gpu_mem_mb,gpu_mem_peak_mb,epoch_time_s,best_ade,no_improve
61,32.288356,13.876875,16.784923,0.680216,1.217077,-0.338921,0.8571,,,,,,,1.00e-04,0.5000,0.8525|0.8612|0.8574|0.8632|0.8544|0.8618|0.8588|0.8588,328,15544,616.4,0.7210,9
62,33.331447,15.150261,16.767126,0.612896,1.181112,-0.441134,1.1434,,,,,,,1.00e-04,0.5000,0.8521|0.8611|0.8575|0.8625|0.8535|0.8620|0.8592|0.8590,330,15544,611.0,0.7210,9
63,32.972973,15.495837,16.055706,0.698610,1.306650,-0.653496,1.7172,,,,,,,1.00e-04,0.5000,0.8516|0.8610|0.8572|0.8625|0.8530|0.8620|0.8591|0.8591,328,15544,610.1,0.7210,9
64,34.122175,15.886834,16.507060,0.730619,1.290412,-0.365608,0.9486,1.0610,1.0935,0.5289,0.6441,0.2027,0.1489,1.00e-04,0.5000,0.8518|0.8607|0.8572|0.8627|0.8525|0.8616|0.8591|0.8589,330,15544,609.1,0.7210,10
65,38.931827,18.850455,18.730919,0.569330,1.048141,-0.323932,0.8242,,,,,,,1.00e-04,0.5000,0.8517|0.8609|0.8571|0.8620|0.8523|0.8611|0.8586|0.8581,328,15544,609.3,0.7210,10
66,34.674998,17.622841,15.749560,0.498020,1.056822,-0.302280,0.7272,,,,,,,1.00e-04,0.5000,0.8514|0.8609|0.8569|0.8611|0.8525|0.8611|0.8581|0.8578,330,15544,608.9,0.7210,10
67,36.611561,19.250706,16.210071,0.622943,0.969577,-0.503979,1.3595,,,,,,,1.00e-04,0.5000,0.8510|0.8608|0.8565|0.8610|0.8518|0.8609|0.8584|0.8576,329,15544,608.5,0.7210,10
68,39.297423,20.133753,17.731348,0.692937,1.036297,-0.366382,0.8997,,,,,,,1.00e-04,0.5000,0.8508|0.8606|0.8563|0.8609|0.8532|0.8601|0.8569|0.8563,327,15544,608.7,0.7210,10
69,45.949129,27.128115,17.331653,0.716231,0.981935,-0.280555,0.6980,2.6420,2.8000,0.6240,1.1884,0.1837,0.1631,5.00e-05,0.5000,0.8512|0.8600|0.8561|0.8608|0.8530|0.8605|0.8566|0.8566,328,15544,607.8,0.7210,11
70,38.098187,21.178069,15.907533,0.508943,0.744965,-0.292280,0.7487,,,,,,,5.00e-05,0.5000,0.8513|0.8600|0.8561|0.8607|0.8529|0.8603|0.8565|0.8562,329,15544,608.0,0.7210,11
71,36.282241,17.934444,17.393842,0.452492,0.705628,-0.249478,0.5950,,,,,,,5.00e-05,0.5000,0.8508|0.8602|0.8558|0.8603|0.8529|0.8602|0.8564|0.8560,328,15544,608.3,0.7210,11
72,35.966914,17.916101,17.123179,0.434601,0.685279,-0.235494,0.5719,,,,,,,5.00e-05,0.5000,0.8508|0.8603|0.8557|0.8604|0.8529|0.8601|0.8561|0.8559,327,15544,608.3,0.7210,11
73,34.160228,17.292390,16.111752,0.384701,0.587495,-0.254331,0.6384,,,,,,,5.00e-05,0.5000,0.8505|0.8604|0.8553|0.8602|0.8527|0.8602|0.8562|0.8560,328,15544,607.6,0.7210,11
74,33.939763,17.064710,16.296058,0.346123,0.494104,-0.295511,0.7338,1.9582,2.2226,0.8802,1.0632,0.1012,0.1616,5.00e-05,0.5000,0.8505|0.8600|0.8555|0.8602|0.8521|0.8602|0.8564|0.8562,329,15544,608.4,0.7210,12
75,33.471487,15.725551,17.244513,0.335814,0.464707,-0.332627,0.8162,,,,,,,5.00e-05,0.5000,0.8504|0.8597|0.8550|0.8603|0.8515|0.8600|0.8565|0.8562,330,15544,608.6,0.7210,12
76,32.862846,16.246949,16.134486,0.334480,0.392492,-0.278685,0.6840,,,,,,,5.00e-05,0.5000,0.8504|0.8596|0.8551|0.8601|0.8515|0.8596|0.8560|0.8558,329,15544,607.6,0.7210,12
77,32.660441,15.528495,16.621121,0.363377,0.392328,-0.281447,0.6989,,,,,,,5.00e-05,0.5000,0.8503|0.8594|0.8549|0.8600|0.8513|0.8595|0.8559|0.8556,327,15544,608.7,0.7210,12
78,31.632432,15.047727,16.097334,0.382595,0.371464,-0.305126,0.7335,,,,,,,5.00e-05,0.5000,0.8505|0.8594|0.8551|0.8600|0.8511|0.8595|0.8559|0.8554,330,15544,608.1,0.7210,12
79,28.536046,13.820799,14.360566,0.354247,0.266946,-0.301865,0.6930,1.6513,1.8130,0.4366,0.8992,0.0956,0.1557,5.00e-05,0.5000,0.8506|0.8593|0.8552|0.8599|0.8509|0.8596|0.8560|0.8554,330,15544,609.0,0.7210,13
80,28.689007,13.323849,14.973853,0.373653,0.299203,-0.318739,0.7292,,,,,,,5.00e-05,0.5000,0.8507|0.8588|0.8554|0.8598|0.8507|0.8596|0.8560|0.8554,330,15544,608.0,0.7210,13
81,29.862868,15.258738,14.217479,0.397612,0.288981,-0.339707,0.7718,,,,,,,5.00e-05,0.5000,0.8507|0.8584|0.8553|0.8599|0.8508|0.8595|0.8557|0.8556,329,15544,607.9,0.7210,13
82,27.741264,13.363373,13.960787,0.405798,0.313454,-0.342690,0.7881,,,,,,,5.00e-05,0.5000,0.8507|0.8587|0.8555|0.8598|0.8505|0.8595|0.8560|0.8556,329,15544,608.3,0.7210,13
83,26.019154,12.022443,13.540955,0.397850,0.309246,-0.291172,0.6498,,,,,,,5.00e-05,0.5000,0.8507|0.8583|0.8553|0.8595|0.8506|0.8595|0.8557|0.8554,327,15544,608.1,0.7210,13
84,25.052014,12.246075,12.356475,0.380081,0.307974,-0.276707,0.6062,1.2600,1.4545,0.2300,0.6879,0.1002,0.1625,5.00e-05,0.5000,0.8507|0.8583|0.8553|0.8595|0.8505|0.8595|0.8556|0.8552,330,15544,608.0,0.7210,14
85,27.443275,14.399680,12.511741,0.387698,0.318092,-0.212767,0.4759,,,,,,,5.00e-05,0.5000,0.8502|0.8580|0.8548|0.8596|0.8505|0.8595|0.8555|0.8552,328,15544,607.7,0.7210,14
86,31.056769,18.425107,12.109653,0.363421,0.295815,-0.173696,0.3985,,,,,,,5.00e-05,0.5000,0.8500|0.8579|0.8546|0.8597|0.8506|0.8593|0.8551|0.8550,330,15544,608.3,0.7210,14
87,36.306324,21.411891,14.449761,0.354543,0.268135,-0.213424,0.5035,,,,,,,5.00e-05,0.5000,0.8500|0.8580|0.8543|0.8598|0.8504|0.8594|0.8551|0.8553,328,15544,608.2,0.7210,14
88,34.040566,18.886912,14.714022,0.352235,0.237460,-0.185152,0.4370,,,,,,,5.00e-05,0.5000,0.8500|0.8579|0.8538|0.8601|0.8501|0.8592|0.8554|0.8550,328,15544,608.4,0.7210,14
89,28.576664,14.941809,13.185639,0.356695,0.254306,-0.197370,0.4565,1.4748,1.6543,0.4518,0.9230,0.0958,0.1659,5.00e-05,0.5000,0.8496|0.8579|0.8537|0.8600|0.8497|0.8593|0.8555|0.8549,329,15544,608.2,0.7210,15
90,29.919175,16.583860,12.887829,0.358285,0.276391,-0.222918,0.5241,,,,,,,5.00e-05,0.5000,0.8495|0.8576|0.8536|0.8599|0.8494|0.8597|0.8558|0.8552,328,15544,607.8,0.7210,15
91,33.867024,19.198648,14.237665,0.345701,0.259474,-0.209081,0.4998,,,,,,,5.00e-05,0.5000,0.8494|0.8573|0.8539|0.8595|0.8493|0.8595|0.8556|0.8550,327,15544,608.5,0.7210,15
92,31.203684,16.041490,14.611259,0.374939,0.405875,-0.267157,0.6476,,,,,,,5.00e-05,0.5000,0.8493|0.8568|0.8541|0.8592|0.8493|0.8593|0.8554|0.8551,329,15544,608.5,0.7210,15
93,32.163127,17.277010,14.442023,0.334850,0.322016,-0.246613,0.5932,,,,,,,5.00e-05,0.5000,0.8488|0.8563|0.8539|0.8592|0.8493|0.8593|0.8554|0.8550,330,15544,607.8,0.7210,15
94,31.137530,16.714173,13.958257,0.332014,0.352953,-0.253170,0.6129,1.8722,1.9156,0.5702,1.0820,0.0888,0.1514,5.00e-05,0.5000,0.8489|0.8562|0.8540|0.8589|0.8491|0.8595|0.8554|0.8548,330,15544,608.0,0.7210,16
95,28.246086,13.807788,14.131046,0.323704,0.306205,-0.355099,0.8536,,,,,,,5.00e-05,0.5000,0.8487|0.8561|0.8539|0.8588|0.8489|0.8593|0.8553|0.8548,330,15544,608.2,0.7210,16
96,27.401051,12.638590,14.402038,0.326701,0.370719,-0.369598,0.8792,,,,,,,5.00e-05,0.5000,0.8488|0.8559|0.8539|0.8586|0.8490|0.8593|0.8552|0.8547,330,15544,608.3,0.7210,16
97,28.173630,13.132677,14.525074,0.352223,0.503608,-0.375223,0.9148,,,,,,,5.00e-05,0.5000,0.8486|0.8558|0.8536|0.8584|0.8490|0.8587|0.8544|0.8544,329,15544,608.3,0.7210,16
98,28.244891,12.229270,15.620395,0.340410,0.518332,-0.497622,1.2576,,,,,,,5.00e-05,0.5000,0.8485|0.8555|0.8535|0.8583|0.8490|0.8585|0.8543|0.8541,327,15544,608.1,0.7210,16
99,30.133052,13.042731,16.743372,0.319896,0.476173,-0.481111,1.2245,1.1449,0.8970,0.4807,0.7036,0.1023,0.1506,2.50e-05,0.5000,0.8482|0.8554|0.8533|0.8582|0.8487|0.8583|0.8543|0.8541,330,15544,608.0,0.7210,17
